Collecting...
Analyzing...
Found 785 different typed gadgets
Collected gadgets saved in ls64.collected
Verifying...
Found 660 different verified gadgets
Verified gadgets saved in ls64.verified
         44239686 function calls (44001934 primitive calls) in 50.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1064    0.002    0.000    0.182    0.000 history.py:62(set_state)
        1    0.002    0.002    0.180    0.180 z3core.py:2(<module>)
        1    0.006    0.006    0.177    0.177 __init__.py:16(<module>)
    90242    0.060    0.000    0.176    0.000 re.py:138(match)
    79471    0.047    0.000    0.164    0.000 __init__.py:1145(debug)
     4491    0.010    0.000    0.160    0.000 {sorted}
     1177    0.005    0.000    0.160    0.000 operations.py:418(bitwise_sub_simplifier)
     7608    0.021    0.000    0.156    0.000 expr.py:410(_from_c)
       34    0.000    0.000    0.155    0.005 GadgetsVerifier.py:112(verifyCopyRegGadget)
    19041    0.035    0.000    0.155    0.000 backend_concrete.py:92(_abstract)
     4590    0.018    0.000    0.152    0.000 paged_memory.py:724(store_memory_object)
    14440    0.019    0.000    0.151    0.000 stmt.py:148(_from_c)
383879/383871    0.130    0.000    0.150    0.000 sim_state.py:295(get_plugin)
        6    0.000    0.000    0.149    0.025 GadgetsVerifier.py:139(verifyLahfGadget)
    43613    0.042    0.000    0.147    0.000 backend_concrete.py:84(_convert)
    42384    0.089    0.000    0.147    0.000 const.py:295(get_type_size)
    71949    0.037    0.000    0.147    0.000 {any}
      825    0.085    0.000    0.147    0.000 GadgetsCollector.py:213(checkWriteMemGadget)
    94870    0.079    0.000    0.146    0.000 sim_state.py:281(_inspect_getattr)
  304/297    0.046    0.000    0.145    0.000 {__import__}
    29719    0.135    0.000    0.145    0.000 unicorn.py:343(reg_write)
    10825    0.029    0.000    0.145    0.000 __init__.py:502(cast)
     7201    0.021    0.000    0.144    0.000 rdtmp.py:6(_execute)
    17136    0.099    0.000    0.139    0.000 functools.py:17(update_wrapper)
    18004    0.040    0.000    0.138    0.000 symbolic_memory.py:318(_resolve_size_range)
      581    0.027    0.000    0.137    0.000 block.py:90(extend)
     3428    0.028    0.000    0.137    0.000 gadget.py:183(simpleInstructionString)
     6180    0.039    0.000    0.136    0.000 sim_action.py:185(__init__)
      581    0.001    0.000    0.135    0.000 block.py:157(__str__)
      581    0.037    0.000    0.134    0.000 block.py:332(_pp_str)
       41    0.000    0.000    0.132    0.003 ccall.py:430(pc_calculate_rdata_all_WRK)
     1651    0.003    0.000    0.132    0.000 unicorn.py:440(_hook_mem_invalid_cb)
    28604    0.025    0.000    0.130    0.000 base.py:59(size_bits)
    12459    0.008    0.000    0.129    0.000 bool.py:23(is_true)
     1651    0.008    0.000    0.129    0.000 GadgetsCollector.py:153(hook_mem_invalid)
    28910    0.036    0.000    0.129    0.000 solver.py:607(eval)
    12938    0.017    0.000    0.128    0.000 bool.py:136(is_true)
        1    0.001    0.001    0.128    0.128 metaelf.py:48(_load_plt)
        2    0.001    0.001    0.128    0.064 memory.py:1(<module>)
   160443    0.126    0.000    0.126    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      185    0.001    0.000    0.125    0.001 sre_compile.py:567(compile)
      207    0.000    0.000    0.125    0.001 re.py:192(compile)
        3    0.001    0.000    0.123    0.041 pickle.py:1383(load)
     1770    0.004    0.000    0.123    0.000 engine.py:71(check)
        3    0.025    0.008    0.122    0.041 pickle.py:851(load)
     8550    0.023    0.000    0.120    0.000 bv.py:312(Reverse)
        1    0.000    0.000    0.119    0.119 intersection.py:4(<module>)
    80169    0.061    0.000    0.119    0.000 __init__.py:1360(isEnabledFor)
    13138    0.048    0.000    0.118    0.000 inspect.py:228(action)
      227    0.001    0.000    0.116    0.001 metaelf.py:27(_block)
       30    0.000    0.000    0.116    0.004 ccall.py:875(amd64g_calculate_condition)
       30    0.001    0.000    0.116    0.004 ccall.py:519(pc_calculate_condition)
      353    0.004    0.000    0.115    0.000 successors.py:163(_manage_callstack)
    17759    0.088    0.000    0.115    0.000 paged_memory.py:299(load_slice)
    15247    0.061    0.000    0.115    0.000 base.py:9(__init__)
      354    0.002    0.000    0.115    0.000 hook.py:14(_check)
     3131    0.006    0.000    0.114    0.000 {_functools.reduce}
    22725    0.022    0.000    0.112    0.000 paged_memory.py:554(_get_page)
      173    0.004    0.000    0.110    0.001 backend_z3.py:518(_generic_model)
   143909    0.061    0.000    0.108    0.000 sim_state.py:209(se)
    12938    0.029    0.000    0.108    0.000 __init__.py:247(is_true)
       12    0.000    0.000    0.107    0.009 ccall.py:260(pc_actions_ADD)
     8444    0.016    0.000    0.106    0.000 solver.py:82(error_converter)
4961/4947    0.016    0.000    0.104    0.000 paged_memory.py:689(_apply_object_to_page)
        1    0.000    0.000    0.103    0.103 op.py:2(<module>)
        1    0.000    0.000    0.102    0.102 irop.py:3(<module>)
        1    0.005    0.005    0.102    0.102 irop.py:111(make_operations)
    23684    0.038    0.000    0.102    0.000 weakref.py:362(__getitem__)
     5118    0.034    0.000    0.095    0.000 collections.py:50(__init__)
    29283    0.040    0.000    0.095    0.000 solver.py:585(eval_upto)
2579/2099    0.008    0.000    0.094    0.000 operations.py:522(extract_simplifier)
     8443    0.023    0.000    0.091    0.000 sim_action_object.py:48(ast_stripping_decorator)
   350640    0.083    0.000    0.090    0.000 {getattr}
     5834    0.013    0.000    0.090    0.000 bv.py:29(normalize_helper)
  456/182    0.001    0.000    0.085    0.000 backend_z3.py:271(call)
        1    0.000    0.000    0.084    0.084 GadgetsVerifier.py:176(verifyReadMemOpGadget)
    13832    0.017    0.000    0.083    0.000 expr.py:560(_from_c)
      388    0.001    0.000    0.081    0.000 z3.py:6090(add)
   134278    0.080    0.000    0.080    0.000 solver.py:746(symbolic)
     3545    0.022    0.000    0.080    0.000 symbolic_memory.py:62(copy)
     7943    0.033    0.000    0.079    0.000 __init__.py:839(disasm)
    22858    0.025    0.000    0.078    0.000 stmt.py:665(tag_to_stmt_class)
     2801    0.015    0.000    0.077    0.000 constraint_filter_mixin.py:2(_constraint_filter)
  187/185    0.001    0.000    0.077    0.000 sre_parse.py:725(parse)
      709    0.008    0.000    0.077    0.000 posix.py:409(copy)
    23541    0.032    0.000    0.076    0.000 coloredstring.py:55(__add__)
      863    0.022    0.000    0.076    0.000 GadgetsCollector.py:293(checkOpEspGadget)
      388    0.002    0.000    0.076    0.000 z3.py:6071(assert_exprs)
   153158    0.075    0.000    0.075    0.000 _weakrefset.py:70(__contains__)
  945/187    0.004    0.000    0.075    0.000 sre_parse.py:336(_parse_sub)
 1459/289    0.025    0.000    0.074    0.000 sre_parse.py:414(_parse)
    17390    0.071    0.000    0.074    0.000 unicorn.py:398(mem_write)
     10/8    0.000    0.000    0.073    0.009 __init__.py:35(load_module)
      114    0.001    0.000    0.072    0.001 metaelf.py:35(_add_plt_stub)
      237    0.001    0.000    0.071    0.000 __init__.py:20(import_module)
     6795    0.005    0.000    0.071    0.000 c_lexer.py:76(token)
      483    0.004    0.000    0.070    0.000 decorator.py:200(create)
    90126    0.039    0.000    0.069    0.000 sim_state.py:225(scratch)
      255    0.004    0.000    0.069    0.000 store.py:7(_execute)
      354    0.001    0.000    0.069    0.000 symbolic_memory.py:1170(permissions)
